Date,Strategy_Value,Benchmark_Value
2023-01-04,1.3818,1.0798172650197806
2023-01-05,1.3895,1.0903407441753814
2023-01-06,1.3891,1.0907672503620884
2023-01-09,1.3977,1.095702266717751
2023-01-10,1.3925,1.0972038638256867
2023-01-11,1.3854,1.0910105716790168
2023-01-12,1.3882,1.0912156705241067
2023-01-13,1.3921,1.0989078930946306
2023-01-16,1.4118,1.111331919809363
2023-01-17,1.414,1.112504154222141
2023-01-18,1.424,1.1159176186910247
2023-01-19,1.4385,1.1255086835941241
2023-01-20,1.4469,1.1340543357743469
2023-01-30,1.465,1.1398400424927946
2023-01-31,1.4765,1.1408963396404947
2023-02-01,1.5087,1.1548202582366072
2023-02-02,1.5174,1.155588698629143
2023-02-03,1.5165,1.1507895743174015
2023-02-06,1.5172,1.143288173854741
2023-02-07,1.5356,1.1459916472923903
2023-02-08,1.5304,1.1371096301037067
2023-02-09,1.5499,1.152762539583025
2023-02-10,1.547,1.1490781617802857
2023-02-13,1.5584,1.1580715810570374
2023-02-14,1.5616,1.1605000232201064
2023-02-15,1.5671,1.1581659127388406
2023-02-16,1.5305,1.1409559500071111
2023-02-17,1.5279,1.1315094846877913
2023-02-20,1.5438,1.1512216315607684
2023-02-21,1.5506,1.1579984558629317
2023-02-22,1.5558,1.1564825457363532
2023-02-23,1.5527,1.153807117833332
2023-02-24,1.5537,1.1502739065506822
2023-02-27,1.5394,1.1441717714619088
2023-02-28,1.5553,1.1533018991144433
2023-03-01,1.5769,1.1613937252016522
2023-03-02,1.5814,1.1577821097788576
2023-03-03,1.5825,1.159248876727358
2023-03-06,1.5809,1.1601380253911864
2023-03-07,1.5502,1.1400162613306863
2023-03-08,1.5678,1.1431395651744847
2023-03-09,1.5787,1.1403162179381128
2023-03-10,1.5663,1.125612593569772
2023-03-13,1.5741,1.1328877431217692
2023-03-14,1.5616,1.1228004210095521
2023-03-15,1.5763,1.129193768884477
2023-03-16,1.5606,1.1139903498689514
2023-03-17,1.5852,1.1216734113819156
2023-03-20,1.5785,1.1175318514551749
2023-03-21,1.5988,1.1310149689866456
2023-03-22,1.6224,1.1373749379587785
2023-03-23,1.6292,1.143909239135167
2023-03-24,1.639,1.1446964370198154
2023-03-27,1.6518,1.1449688923138546
2023-03-28,1.6304,1.1392222606805233
2023-03-29,1.6277,1.1357082785483952
2023-03-30,1.6035,1.1403570708126167
2023-03-31,1.6349,1.1500879280118654
2023-04-03,1.6661,1.1635100564829086
2023-04-04,1.6629,1.162619728673058
2023-04-06,1.6579,1.1640612256152603
2023-04-07,1.6721,1.1726999759091399
2023-04-10,1.6463,1.1629140435202843
2023-04-11,1.6582,1.1647925501191483
2023-04-12,1.6836,1.1688854748076358
2023-04-13,1.6651,1.1618481862194474
2023-04-14,1.6606,1.1666414148010762
2023-04-17,1.647,1.1717517973813525
2023-04-18,1.6425,1.1700490198212632
2023-04-19,1.6415,1.1640837200932288
2023-04-20,1.6481,1.163138008701735
2023-04-21,1.5853,1.1338930467391715
2023-04-24,1.5871,1.126316598167353
2023-04-25,1.5621,1.1098762005520582
2023-04-26,1.5497,1.1142302425920605
2023-04-27,1.5438,1.1170931909940818
2023-04-28,1.5956,1.1322058701879958
2023-05-04,1.6086,1.1360417229028617
2023-05-05,1.6106,1.124828370761242
2023-05-08,1.6289,1.1335371623288606
2023-05-09,1.6142,1.1214541627845551
2023-05-10,1.6089,1.1199727200032508
2023-05-11,1.6167,1.116464488475571
2023-05-12,1.601,1.1050677881978004
2023-05-15,1.6056,1.1173567392004737
2023-05-16,1.5841,1.1085473029846544
2023-05-17,1.5971,1.1105835430399182
2023-05-18,1.6071,1.1116945525630644
2023-05-19,1.5995,1.109682221960996
2023-05-22,1.5985,1.1093614579614488
2023-05-23,1.5773,1.0979536011482343
2023-05-24,1.5748,1.089493065170131
2023-05-25,1.5794,1.0862997926154256
2023-05-26,1.587,1.0947887188016103
2023-05-29,1.5814,1.0930058137341123
2023-05-30,1.5957,1.0995643508964412
2023-05-31,1.6024,1.0971141217430174
2023-06-01,1.6118,1.0977777451245032
2023-06-02,1.6211,1.1075297906707418
2023-06-05,1.631,1.1060581801531946
2023-06-06,1.5924,1.0854347892339977
2023-06-07,1.6052,1.0860861857782655
2023-06-08,1.595,1.0823014354379459
2023-06-09,1.6132,1.0901808338340169
2023-06-12,1.6267,1.093469671638672
2023-06-13,1.6493,1.0964311240853455
2023-06-14,1.6506,1.096438289665021
2023-06-15,1.6406,1.106004048280406
2023-06-16,1.661,1.1152929978318225
2023-06-19,1.6782,1.1122766334619147
2023-06-20,1.6799,1.111320327896926
2023-06-21,1.6402,1.0867817912280244
2023-06-26,1.5873,1.0679493598506948
2023-06-27,1.6086,1.0790098402456687
2023-06-28,1.591,1.0779773255662077
2023-06-29,1.6156,1.0776629470958903
2023-06-30,1.6367,1.0882119683684102
2023-07-03,1.6468,1.0961182150123794
2023-07-04,1.6574,1.0984666203715798
2023-07-05,1.6522,1.0922195954476983
2023-07-06,1.6492,1.086365824792688
2023-07-07,1.6381,1.0814774844788102
2023-07-10,1.6447,1.0855910170116303
2023-07-11,1.6606,1.093745337838034
2023-07-12,1.6495,1.0816930142310228
2023-07-13,1.6676,1.0964349699154496
2023-07-14,1.6661,1.0939788087504971
2023-07-17,1.6633,1.0907444474920835
2023-07-18,1.6686,1.0887689788087505
2023-07-19,1.6661,1.0872474813440958
2023-07-20,1.6449,1.074924806765178
2023-07-21,1.642,1.0749504214449292
2023-07-24,1.6413,1.0733338303887336
2023-07-25,1.6821,1.0914594997808602
2023-07-26,1.6786,1.088721885530681
2023-07-27,1.6671,1.0814010395351334
2023-07-28,1.6943,1.0962872138484714
2023-07-31,1.719,1.104450405481106
2023-08-01,1.7169,1.1063798149067277
2023-08-02,1.7141,1.1024950911244047
2023-08-03,1.7232,1.1063449666065848
2023-08-04,1.7333,1.1117634509721968
2023-08-07,1.7182,1.1049016737342865
2023-08-08,1.7103,1.1004338350327547
2023-08-09,1.6954,1.0923881951882135
2023-08-10,1.6975,1.094194991568199
2023-08-11,1.6687,1.0727235951110066
2023-08-14,1.6785,1.0733499393374724
2023-08-15,1.669,1.066633396608123
2023-08-16,1.6567,1.0581865931460053
2023-08-17,1.6706,1.0656506600315212
2023-08-18,1.6449,1.0481333211427775
2023-08-21,1.6371,1.035975618162767
2023-08-22,1.6458,1.0414690417932888
2023-08-23,1.6202,1.0212311409199226
2023-08-24,1.6125,1.025434887193821
2023-08-25,1.5737,1.012471301399882
2023-08-28,1.5927,1.0238870494210939
2023-08-29,1.6353,1.0467760877894168
2023-08-30,1.6443,1.04765371710364
2023-08-31,1.6285,1.041167506944263
2023-09-01,1.6282,1.0432363277111651
2023-09-04,1.6558,1.0575640947496436
2023-09-05,1.6528,1.0501138692243615
2023-09-06,1.6697,1.0504160389981687
2023-09-07,1.6386,1.0345103024709095
2023-09-08,1.6513,1.0355845770602765
2023-09-11,1.6697,1.0475770000493427
2023-09-12,1.6726,1.0468868186712874
2023-09-13,1.6388,1.0368135374670926
2023-09-14,1.6236,1.0344016759111714
2023-09-15,1.6203,1.0348662957254686
2023-09-18,1.6338,1.0375920278118822
2023-09-19,1.612,1.0318254595404162
2023-09-20,1.5991,1.0251325360129335
2023-09-21,1.5889,1.0180417686174459
2023-09-22,1.6245,1.0338057173706712
2023-09-25,1.615,1.0279730080776945
2023-09-26,1.6074,1.0243430886804885
2023-09-27,1.616,1.029366377721469
2023-09-28,1.6318,1.0323459164540576
2023-10-09,1.634,1.0264163539208602
2023-10-10,1.6328,1.0213892371904834
2023-10-11,1.6388,1.0212835131440314
2023-10-12,1.6539,1.0288759981017563
2023-10-13,1.6436,1.0219355808944965
2023-10-16,1.6206,1.012372434541069
2023-10-17,1.6125,1.015034710430762
2023-10-18,1.5828,1.0022013386391275
2023-10-19,1.5651,0.9912131852471054
2023-10-20,1.5508,0.9838930104577553
2023-10-23,1.5077,0.9597040996548912
2023-10-24,1.5381,0.9708929255592418
2023-10-25,1.5587,0.9752441557894982
2023-10-26,1.5656,0.97940485416322
2023-10-27,1.5825,0.9962926560608831
2023-10-30,1.6035,1.0061540719358892
2023-10-31,1.6002,1.0028616059896265
2023-11-01,1.6075,0.9995468813945996
2023-11-02,1.5934,0.9903831934321928
2023-11-03,1.6084,0.9996177752816163
2023-11-06,1.6368,1.0167979509707457
2023-11-07,1.6418,1.0178929603894011
2023-11-08,1.6454,1.0173340451747168
2023-11-09,1.6449,1.0144386974681376
2023-11-10,1.6396,1.0109997815858753
2023-11-13,1.6586,1.0168898699383797
2023-11-14,1.6661,1.0214222532791144
2023-11-15,1.6786,1.0276016315027183
2023-11-16,1.669,1.017577747446514
2023-11-17,1.6814,1.0215800592983466
2023-11-20,1.6987,1.0267228411831806
2023-11-21,1.6865,1.023332651242711
2023-11-22,1.6724,1.0109632643405926
2023-11-23,1.6896,1.0200500357009135
2023-11-24,1.6693,1.0105137194546758
2023-11-27,1.6685,1.009803764704858
2023-11-28,1.6873,1.0143368736739142
2023-11-29,1.6767,1.0074142706419489
2023-11-30,1.6604,1.0059114036844503
2023-12-01,1.6682,1.0098694340679595
2023-12-04,1.6658,1.008454331855954
2023-12-05,1.631,0.9905568181488351
2023-12-06,1.6425,0.9944416870568225
2023-12-07,1.6424,0.9943167882819735
